date,real,nominal
1946-06-01,508.52,35.000
1946-07-01,480.27,35.000
1946-08-01,470.75,35.000
1946-09-01,466.13,35.000
1946-10-01,457.17,35.000
1946-11-01,446.46,35.000
1946-12-01,442.30,35.000
1947-01-01,442.30,35.000
1947-02-01,442.30,35.000
1947-03-01,434.21,35.000
1947-04-01,434.21,35.000
1947-05-01,434.21,35.000
1947-06-01,432.25,35.000
1947-07-01,428.37,35.000
1947-08-01,422.63,35.000
1947-09-01,413.46,35.000
1947-10-01,413.46,35.000
1947-11-01,411.67,35.000
1947-12-01,406.39,35.000
1948-01-01,401.24,35.000
1948-02-01,404.67,35.000
1948-03-01,406.39,35.000
1948-04-01,399.56,35.000
1948-05-01,397.88,35.000
1948-06-01,394.59,35.000
1948-07-01,389.73,35.000
1948-08-01,388.15,35.000
1948-09-01,388.15,35.000
1948-10-01,389.73,35.000
1948-11-01,392.95,35.000
1948-12-01,394.59,35.000
1949-01-01,360.91,31.880
1949-02-01,363.94,31.880
1949-03-01,363.94,31.880
1949-04-01,362.41,31.880
1949-05-01,363.94,31.880
1949-06-01,362.41,31.880
1949-07-01,365.47,31.880
1949-08-01,363.94,31.880
1949-09-01,362.41,31.880
1949-10-01,365.47,31.880
1949-11-01,363.94,31.880
1949-12-01,367.03,31.880
1950-01-01,404.67,35.000
1950-02-01,404.67,35.000
1950-03-01,402.96,35.000
1950-04-01,402.96,35.000
1950-05-01,401.24,35.000
1950-06-01,399.56,35.000
1950-07-01,394.59,35.000
1950-08-01,391.34,35.000
1950-09-01,389.73,35.000
1950-10-01,386.58,35.000
1950-11-01,385.00,35.000
1950-12-01,380.38,35.000
1951-01-01,374.40,35.000
1951-02-01,370.02,35.000
1951-03-01,368.59,35.000
1951-04-01,368.59,35.000
1951-05-01,367.15,35.000
1951-06-01,367.15,35.000
1951-07-01,367.15,35.000
1951-08-01,367.15,35.000
1951-09-01,364.35,35.000
1951-10-01,362.95,35.000
1951-11-01,360.22,35.000
1951-12-01,358.86,35.000
1952-01-01,355.68,34.690
1952-02-01,358.38,34.690
1952-03-01,358.38,34.690
1952-04-01,357.03,34.690
1952-05-01,357.03,34.690
1952-06-01,355.68,34.690
